restaurant,menu,calories,total_fat,cholesterol,sodium,total_carb,sugar,protein
Mcdonalds,Artisan Grilled Chicken Sandwich,380,7,95,1110,44,11,37
Mcdonalds,Single Bacon Smokehouse Burger,840,45,130,1580,62,18,46
Mcdonalds,Double Bacon Smokehouse Burger,1130,67,220,1920,63,18,70
Mcdonalds,Grilled Bacon Smokehouse Chicken Sandwich,750,31,155,1940,62,18,55
Mcdonalds,Crispy Bacon Smokehouse Chicken Sandwich,920,45,120,1980,81,18,46
Mcdonalds,Big Mac,540,28,80,950,46,9,25
Mcdonalds,Cheeseburger,300,12,40,680,33,7,15
Mcdonalds,Classic Chicken Sandwich,510,24,65,1040,49,6,25
Mcdonalds,Double Cheeseburger,430,21,85,1040,35,7,25
Mcdonalds,Double Quarter Pounder® with Cheese,770,45,175,1290,42,10,51
Mcdonalds,Filet-O-Fish®,380,18,40,640,38,5,15
Mcdonalds,Garlic White Cheddar Burger,620,34,95,790,48,11,32
Mcdonalds,Grilled Garlic White Cheddar Chicken Sandwich,530,20,125,1150,48,11,42
Mcdonalds,Crispy Garlic White Cheddar Chicken Sandwich,700,34,85,1190,67,11,33
Mcdonalds,Hamburger,250,8,30,480,31,6,13
Mcdonalds,Lobster Roll,290,5,65,630,35,3,24
Mcdonalds,Maple Bacon Dijon 1/4 lb Burger,640,36,110,1260,40,10,37
Mcdonalds,Grilled Maple Bacon Dijon Chicken Sandwich,580,21,135,1890,50,14,48
Mcdonalds,Crispy Maple Bacon Dijon Chicken Sandwich,740,35,95,1780,69,14,39
Mcdonalds,McChicken,350,15,40,600,40,5,15
Mcdonalds,McDouble,380,18,70,840,34,7,23
Mcdonalds,McRib,480,22,80,870,45,12,25
Mcdonalds,Pico Guacamole 1/4 lb Burger,580,33,95,920,41,7,29
Mcdonalds,Grilled Pico Guacamole Chicken Sandwich,520,18,115,1540,50,12,40
Mcdonalds,Crispy Pico Guacamole Chicken Sandwich,680,32,80,1430,69,12,31
Mcdonalds,Premium Buttermilk Crispy Chicken Deluxe Sandwich,570,23,60,1050,64,11,28
Mcdonalds,Premium Crispy Chicken Deluxe Sandwich,530,22,45,1000,59,13,25
Mcdonalds,Quarter Pounder® with Cheese,530,27,100,1090,41,10,31
Mcdonalds,Signature Sriracha Burger,670,35,95,1010,56,13,32
Mcdonalds,Grilled Signature Sriracha Chicken Sandwich,560,20,115,1550,56,14,41
Mcdonalds,Crispy Signature Sriracha Chicken Sandwich,730,33,80,1430,75,13,32
Mcdonalds,Sweet BBQ Bacon 1/4 lb Burger,690,37,110,1310,51,14,38
Mcdonalds,Grilled Sweet BBQ Bacon Chicken Sandwich,630,22,135,1930,61,18,48
